nom|prix|etoile|avis
Angelina|3|5|Le meilleur chocolat chaud jamais bu de toute ma vie... Son prix (8,2euros) m'a même laissée de marbre, tant je me suis régalée. Le salon de thé est magnifique, d'une classe folle, un vrai bon moment en somme !
Angelina|3|5|Fan de mont blanc, souvent imité jamais égalé, celui d'Angelina est le meilleur. À emporter ou à déguster sur place avec leur chocolat chaud tout aussi réputé (mais à mon avis un poil trop lourd à boire bec le mont blanc), ce n'est pas pour rien que c'est le passage obligé des touristes...Possible d'acheter leur crème de marron aussi à emporter :p
Angelina|3|1|Date de l'expérience : novembre 2019
Angelina|3|4|Raviolis à la truffe et au parmesan
Le Comptoir de la Gastronomie|2|5|Voir toutes les photos de Alexis H. sur Le Comptoir de la Gastronomie
Le Comptoir de la Gastronomie|2|5|Une adresse immanquable. Le meilleur magret de Paris.Les ravioles au foie gras sont à tomber également.Personnel agréable et superbe sélection de produits à l'épicerie.
Le Comptoir de la Gastronomie|2|4|Voir toutes les photos de Alexia G. sur Le Comptoir de la Gastronomie
Le Comptoir de la Gastronomie|2|5|Très bon accueil Très bonne cuisine
Le Comptoir de la Gastronomie|2|5|Une petite merveille qui vient de derrière le rideau rouge...:-)
Le Comptoir de la Gastronomie|2|5|Les ravioles de foie gras à la crème de truffes sont  parfaites ...
Le Comptoir de la Gastronomie|2|4|En savoir plus
Le Comptoir de la Gastronomie|2|4|Wow.... Super service, ambiance cool avec service relax.Le plat qui doit être pris sans hésitation est les raviolis a l'huile de truffe. Ensuite dans l'ordre le saumon fumé et l'escalope de foie gras poilé..... Wow... Que du goût dans tous ces plats.... Dans les plats qui ne vaillent pas la peine ... On oublie la salade fraîcheur......pour le reste on y va les yeux fermés....
Le Comptoir de la Gastronomie|2|5|Toujours satisfait de mes achats dans ce magasin. Particulièrement sur les oeufs de truite.De plus il est maintenant possible d'y dîner de temps à autre surtout que le service est particulièrement rapide.Une excellente adresse pour organiser un repas de dernière minute avec de succulentes suggestions.
Le Comptoir de la Gastronomie|2|4|Gros coup de coeur pour cette adresse !!!Depuis le temps que je voulais la tester cette adresse et que je suis passée devant sans m'arrêter, je suis bien contente que mon amie ait choisie cette adresse.C'était son choix parmi ceux que je lui avais proposé, pour son anniversaire!!!On avait réservé à 21h. On arrive déjà on est bien accueilli, chaleureusement, l'endroit est atypique, très français, avec en décoration des bouteilles et des caisses en bois de fameuses marques de champagne, Rogederer, Deutz etc...On nous installe, et on a la carte, qui est composé des classiques, ensuite menu, où il n'y pas forcément de formule de prix, on prend entrée, plat ou dessert.On choisit très vite l'entrée, est escargot pour mon amie, qu'elle commande très vite car il n'en restait que 6 et je prends un gaspacho courgette, amandes, c'était délicieux et frais.Ensuite, je prends une escalope de foie gras poêlé, sur pain d'épice et salade et mon amie, un cassoulet gratiné.Mon plat était très bon et pas trop lourd, et le cassoulet était délicieux apparemment.Pour accompagner le tout, un verre de Sancerre rouge, sur mes conseils car j'adore le Sancerre en rouge, je pense autant qu'en blanc.En dessert, qu'on a pu prendre en terrasse, la classe, un dessert de mousse de caramel beurre salé, délicieux !!!!Une belle soirée, un endroit où on a pas envie de partir. C'est sur que ce ne sont pas les prix d'une cantine car les plats sont de qualité. Le service est au top et vraiment la bonne ambiance règne !!
Bouillon Chartier|2|5|Voir toutes les photos de Angelique N. sur Bouillon Chartier
Bouillon Chartier|2|4|En savoir plus
Bouillon Chartier|2|2|Je voulais aller chez Chartier depuis que je suis tout petit. Et, comment dire...ça aurait du rester une envie.Déjà, première surprise, on n'est placé pas loin d'autres clients. Pas très covid friendly. Je comprends l'idée : éviter aux serveurs de parcourir la grande salle. Mais quand même...J'ai demandé des saucisses et des frites. C'était franchement à peine digne de la cantoche de la Cogip. Pas de sauce (ni même de la moutarde), un plat tiède, des frites surgelés. C'est quoi ce plat?Je voulais un coca light, ils n'en avaient plus...En dessert j'ai pris une profiterole (oui...une...). C'était pas mauvais.Mais le truc qui m'a gavé c'est le service. On sent que les mecs surjouent de la réputation du lieu. Limite les serveurs courent dans les allées, s'invectivent, blaguent avec les clients. Du coup ça oublie des commandes, ça oublie l'addition, ça se trompe...Posez vous deux minutes les mecs et arrêtez votre cirque. Faites d'abord un bon service avant de faire les guignols.Je n'ai jamais eu ma carafe d'eau par exemple.Mais, cerise sur le gâteau : l'addition. Le mec fait son calcul à même la nappe en papier. Et, ce co**ard, m'a gaulé trente centimes. Le mec s'est auto offert un pourboire. 30 centimes pour sa tronche, sans me demander. Alors je n'ai rien dit d'une part car ce n'était que 30 centimes mais aussi car je voulais voir jusqu'où il irait. C'est dingue ça.Mais en fait c'est limite la caricature du service à la française : pressant, râleur, arnaqueur, peu attentif. Beaucoup de restaurants, en particulier ceux qui ont un long passé, n'en ont plus rien à faire des clients.Vous avez eu le confinement pour vous remettre en question, vous n'en avez rien fait...La salle est belle, c'est bien le seul point positif. En revanche les distributeurs de savon pétés dans les chiottes c'est pas top en période de covid...
Bouillon Chartier|2|5|Date de l'expérience : juillet 2020
Bouillon Chartier|2|5|Commandez les ESCARGOTS!!!!
Bouillon Chartier|2|4|Voir toutes les photos de Alex M. sur Bouillon Chartier
Bouillon Chartier|2|3|Spacieuse brasserie française avec un certain cachet historique. Nous sommes allés là en soirée un jour de semaine et c'était bondé, la réputation de l'endroit semble bien faite! La brasserie est bruyant, le service est expeditif et peu chaleureux. Je me suis sentie dans une cantine. On nous a installés au deuxième étage, loin de tous et on aurait pu croire loin du bruit, mais non un groupe à côté de nous célébrait bruyamment un anniversaire. Avec mon amie nous avons partagé en entrée les escargots au beurre. Très bons je l'admets, mais certain avait encore un peu de sable, donc mal lavés. Puis, j'ai pris une entecôte avec frites. Bonne mais sans plus. Je n'ai vraiment pas été impressionnée par l'établissement et je ne pense pas y retourner.
Bouillon Chartier|2|5|"Brasserie parisienne incontournablePlats très bons et pas chers. Le cadre est magnifique. En revanche, il faut apprécier l'ambiance ""brasserie"". C'est bruyant, c'est vivant et convivial. Il ne pas avoir peur de manger, très proches de ses voisins. Si vous souhaitez un restaurant paisible passez votre chemin. Je recommande fortement cette brasserie !"
Bouillon Chartier|2|3|Date de l'expérience : avril 2019
Bouillon Chartier|2|5|Le service est non seulement vraiment rapide mais l'équipe est vraiment gentille et amicale. La nourriture est bonne et pas trop chère, les escargots sont à essayer!!
L'Avant Comptoir|2|5|Nous sommes complètement déstabilisé, possiblement un des endroits le plus secrètement gardé par les Parisiens! Expérience gastronomique servi au comptoir, sans chichi ! Tartare de thon et framboises coriandre, l'un de leur plat les plus populaires = une explosion en bouche! Wow , vin au verre et de bons choix .Ce comptoir est une recommandation d'un commerçant de parapluie ( Parapluie Simon )... alors en plus de s'y connaître en matière de parapluies, très bien avisé le monsieur sur la bonne bouffe!
L'Avant Comptoir|2|5|... merci beaucoup à la crèche pour le vin que nous avons tout apprécié ...
L'Avant Comptoir|2|4|On a adoré le concept de l'avant comptoir !La nourriture était bonne, l'ambiance conviviale puisque tout le monde est debout autour du comptoir. Pour lire la carte pas évident ce sont des panneaux en l'air et un panneau = 2 tapas sur le recto et verso entre guillemet si comme moi vous aimez voir toute la carte pour ne pas passer à côté DU tapas de folie vous devrez traverser la salle plusieurs fois et risquer de vous bloquer la nuque pour tout voir et retenir. Nous avons pris quelques tapas et verres de vin, c'était très bien cependant étant débout nous ne sommes pas resté très longtemps. Les prix sont dans la fourchette haute.
L'Avant Comptoir|2|5|Voir toutes les photos de Emmanuelle M. sur L'Avant Comptoir
L'Avant Comptoir|2|4|Dieu a inventé les chaussures plates pour les filles qui viennent diner à l'Avant Comptoir. Et il a eu un éclair de génie ce jour-là.Je dois être la seule truffe à pas avoir noté en regardant les avis qu'on restait debout donc j'ai été légèrement surprise quand le soir du réveillon j'ai appris que j'allais jouer des coudes au comptoir avec un inconnu assez bavard et mes copines.Tout en longueur c'est assez sympa, le service est très très cool, pas de chichi ni de snobisme odéonnien, super agréable. Pour commander tu lèves les yeux car tout est accroché à des panneaux au plafond et là c'est le drame. Je ne sais jamais choisir ce que je veux manger au restaurant, j'hésite toujours et là je ne pouvais voir qu'une sélection partielle de ce qui m'était proposé. Angoisse totale !!! Donc il faut faire avec, surtout que j'ai trouvé ça assez pressant donc je me dépêche de commander. Je me décide pour une salade roquette, saumon, parmesan et une boule de mozarella pesto ce qui fait bien rire les serveurs. Et un verre de vin rouge plutôt corsé pour aller avec.Devant toi tu trouvera une motte de beurre, du pain en illimité et un bocal de cornichons. Un petit bout de paradis auquel tu restes bien accroché au risque de perdre progressivement ton petit espace vital. Enfin, soyons clairs, si tu n'aimes pas qu'on te frole sans cesse, si tu crois toujours qu'on te touche le cul quand on passe à côté de toi, si tu n'aimes pas la proximité corporelle évite de venir ici. C'est un peu comme le métro de bon matin sauf que les gens font pas la gueule et qu'ils bouffent.Arrive ma commande, la salade est ridiculement petite, 6euros pour ça... super décevant surtout qu'elle n'avait absolument rien d'exceptionnel et que je devais avoir 10g de saumon maxi ! La boule de mozzarella c'est déjà mieux ! Mon verre de vin est très sympa aussi. Par pure gourmandise je commande une tranche de foie gras avec condiment citron, très bon !Ces petites portions c'est parfait pour grignoter, pour gouter plein de petites choses. Dommage cependant que ça change du tout au tout au niveau de la taille des portions en fonction de ce que tu prends. Pour mes copines pareil, une fois arrive une planche très grande et puis juste après un micro ramequin. Et puis tu n'y restes pas des heures, clairement, au bout d'un moment l'ambiance collée serrée à 3 personnes différentes moi je sature.
L'Avant Comptoir|2|5|L'avant-comptoir ou il est temps de faire un bon apéro... Une double porte vitrée, à gauche un présentoir pour les achats à emporter, on passe un rideau de grandes bandes plastiques et là, attention attaque d'odeurs.... Haaa La charcuterie (oh oui) et découverte du zinc qui s'étale de tout son long dans ce petit endroit.... Ici pas de siège, un zinc, des crochets pour mettre son manteau, des cartes sur les murs et le plafond, des bouteilles de vin en veux tu en voilà, assaisonnements et les accompagnements indispensables à la charcutailles (beurre et cornichons) sur le zinc, une petite cuisine dans le fond... A l'apéro, ce sera un (deux pardon) petit rouge (Mondeuse de 2012) que le serveur nous a fait tester avant de nous en servir un verre (très bien - oui on a droit d'être sûr de son choix!) et plancha de charcuterie (boudin, saucisson, chorizo, jambon... Très bien et bon!).On a bien déliré avec le fameux serveur (même si de premier abord paraissait froid, au final n'en n'était rien!).Un bon moment accoudé au zinc... Simple, bon, dans la bonne humeur! Oh oui oh oui! Bilan : un bon plan apéro!
L'Avant Comptoir|2|4|Voir toutes les photos de Romane L. sur L'Avant Comptoir
L'Avant Comptoir|2|4|De quoi a t'on envie quand on quitte le boulot après une dure journée ? D'un endroit bon enfant, où ça parle, ça rigole, et où on mange et boit bien ! Et pour ça il y a l'avant Comptoir !Superbe endroit en plein quartier de l'Odéon où il y a tant de bars mais avec tant de classiques et rien d'original. Alors avant toutes choses il faut savoir que si vous n'aimez pas le monde et n'aimez pas être quasiment collés à vos voisins (dont la moitié sont des touristes), cet endroit n'est pas fait pour vous. On mange et boit debout, la salle est petite et très vite remplie passée 18h et ressemble à un long couloir pas très large le long du comptoir.Pour le choix il y a les planches marquées sur des ardoises, mais on peut aussi goûter tout pleins de petites assiettes toutes aussi délicieuses les unes que les autres: ça va du foie gras au dessert au chocolat. Et là pour choisir ce que vous voulez, rien de plus simple, vous n'avez qu'à lever les yeux au plafond et hop tous les choix sont suspendus en l'air, pas de quoi s'embêter avec une carte et dès qu'on veut autre chose le choix est vite fait ! Avec tous les choix proposés il y a de quoi y revenir régulièrement et tester à chaque fois quelque chose de différent.Pour la qualité, c'est super: le choix est surtout orienté vers la viande et elle est bien bonne ! Des assiettes de cochonnailles, de jambon de paris, de pays, accompagnées d'un bon vin (pour ce soir un bon côte du Rhône assez fort comme je les aime, idéal pour accompagner de la bonne charcuterie !), et d'un pain de campagne servi tout chaud et bien tendre comme on l'aime, du vrai pain de campagne !Les plats sont des portions pour 1 personne, et le prix est raisonnable (7euros pour les piquillos de foie gras, 4euros pour des croquettes au saumon, les prix varient dans ces eaux là).Sachant qu'on peut être assez vite ncalé entre une planche de charcuterie (à partager au moins à 2 par contre pour les planches), 2 assiettes avec le pain et le vin, on peut s'en sortir sans difficulté pour 20euros par personne en étant assez calé. Niveau service, rien à dire, on est clairement dans une ambiance bonne franquette qui fait du bien ! Les serveurs ont l'humour facile, du répondant, et connaissent le sens du mot service.Un bon endroit où aller entre amis, même en étant malade j'ai bien bu tout apprécier et oublier mon état mi-zombie, pour pas trop cher et super bon !
L'Avant Comptoir|2|4|Mise en garde : agoraphobes ou claustrophobes s'abstenir, car ici, le collé-serré est de mise, sauf si vous venez en pleine soirée d'été, comme moi, mais dans ce cas c'est le manque cruel de clim que vous regretterez.Mise à part l'exiguïté du lieu, l'endroit est top !Un coup d'oeil au plafond pour zieuter lesquelles de la 20aine de tapas dessinées sur des pancartes vont faire votre bonheur. Un coup d'oeil au serveur qui 1. passe la commande fissa 2. conseille le bon vin qui va avec et hop, c'est parti pour un moment de plé-ni-tude !
L'Avant Comptoir|2|5|Belle découverte !Pour une soirée on s'est un peu sentis comme des touristes à Paris, c'était marrant. En se faufilant parmi les gens, on a réussi à trouver une place au fond de la salle assez bondée. La carte au plafond est un peu compliquée à déchiffrer mais il y avait une ardoise au fond qui nous a bien aidé. À 2 nous avons pris les crevettes, le gratin de brandade de morue, la salade asperges fraises échalotes (un délice !) et les rillettes. Tout était très bon, on s'est régalés. Même en format tapas (entre 5 et 7 euros) cela nous a bien calé. Et la gigantesque motte de beurre salé Bordier en libre service avec le pain au maïs, miam ! En vin j'ai pris un côte du Rhône rouge Terre des Galets pas mal du tout. Bref un endroit sympa pour changer mais où on ne reste pas une éternité car on reste debout.
Chez Janou|2|4|Un peu d'attente mais ambiance très sympa, nous avons mangé sur la terrasse. Très bon, un peu cher mais ça vaut le coup ! À refaire !
Chez Janou|2|4|Je suis venue avec 2 amies il y a 1 semaine environ Nous avons dîner à la terrasse malgré le froid car il y avait trop de monde a l'intérieur  Les plats sont très bons !!Nous avons pris plusieurs plats que nous nous sommes partages : champignons, thon ratatouille, et une entrée avec du chèvre Pour le dessert on a pris la poire et la mousse au chocolat. Le serveur à fait des blagues qui étaient sans doutes drôles mais qui n'allaient pas dans l'ambiance avec mes amies et me paraissaient du coup un peu déplacées Après avoir apporté la mousse au chocolat dans un grand bol et nous avoir servi dans une assiette, le serveur laisse le bol sans rien dire. Nous ne savions pas si nous avions le droit de nous resservir ou pas ce qui a créé un débat très drôle sur notre table Il serait peut être judicieux d'expliquer aux clients la prochaine fois :)
Chez Janou|2|4|Super adresse; la salle semblait bondée et bruyante à l'intérieur, et nous avons opté pour la terrasse chauffée. L'ambiance est chaleureuse et odorante - d'exquis fumets se dégagent de partout et vous mettent en appétit ! Nous avons commandé une bouteille de rouge sans prétention et parfaite pour l'apéro/le repas (Corse - Paillote). Le serveur était attentionné et drôle, il nous a conseillé les petits plats mijotés - j'ai donc commandé un pot-au-feu qui m'a fondu dans la bouche ! délicieux; J'ai trouvé que le rapport qualité-prix était très bon, bref, excellente soirée!
Chez Janou|2|5|"En bref : étant donné la qualité, la quantité, la sympathie et même la décoration, on ne sort pas déçu même si c'est cher !Nous étions trois. Nous avons commencé par une friture (petits poissons) à partager, un plat peu commun sur Paris et pourtant fort sympathique. Ensuite mes proches se sont contentés d'une entrée : le poulpe et la salade d'écrevisses. Effectivement elles sont plutôt copieuses. Les deux étaient très bien préparées sans atteindre de la haute gastronomie. Moi j'ai tenté le thon accompagné de ratatouille et j'ai adoré. La ratatouille est très très bien faite rien à dire. Pourtant dans ma famille de sudiste on est tatillon sur ce plat. Pour le thon on m'a demandé la cuisson souhaitée et elle a été respectée et c'était très bon ! J'ai eu des mauvaises expériences de type ""surprise le poisson se mange rosé"" dans d'autres établissements mais pas Chez Janou. Desserts : la serveuse toujours sympathique et bavarde nous a conseillé et nous avons pris la salade de fruits rouges et la soupe d'ananas au gingembre. Les fruits rouges n'étaient pas de la qualité du petit producteur mais quand même bons. L'ananas c'était vraiment très bon, bonne idée et bien dosé le gingembre. Sur d'autres tables il y avait des saladiers entiers de mousse au chocolat, c'est impressionnant ! Les gens étant sympathiques en ce beau monde, nous l'avons gouté et elle est bonne sans déloger l'ananas, pas assez forte en chocolat à mon goût, elle est plutôt onctueuse. Ensuite café et là surprise, nous nous sommes vu offert le digestif !! Un génépi fort sympathique dans de petits verts très jolis. En parlant d'esthétique la déco est réussie avec une impression de tradition sans ringardise.100 euros pour tout ça, étant donné le quartier et l'impression générale, aucun regret !!"
Chez Janou|2|3|Très bonne atmosphère mais malheureusement trop bruyant et trop d'attente, ce qui nous a fait partir avant de prendre un dessert! Les plats étaient bons cela dit !
Chez Janou|2|4|C'est une super brasserie, l'accueil est agréable et le contenu des assiettes est excellent. La déco est aussi super travaillée, je pense que c'est une vraie valeur sûre !
Chez Janou|2|4|Tagliatelle aux escargots
Chez Janou|2|3|Côtelette d'agneau
Chez Janou|2|3|Daurade and Eggplant (menu of the day)
Chez Janou|2|5|Bim et un petit bleu! A l'ancienne, pépouze, on se sert autour des tables, on blablatte, on descend quelques verres, on blablatte et d'un coup les assiettes arrivent, cuisine de bistro et provençale, Risotto d'épeautre aux saint jacques, thon à la provençale, brandade de morue... On aurait bien terminé en essayant la mousse au chocolat, parait il à volonté, ça sera pour la prochaine, au retour des beaux jours et en terrasse !
Les Cocottes|3|5|Un de mes resto parisien favori! Rien a redire depuis plus de 8 ans que j'y vais, je n'ai jamais ete decue! La cuisine est fraiche et delicieuse. La verrine sucrine/tourteau en entrée est parfaite pour commencer en douceur le diner! Ma cocotte preferee est celle de l'agneau confit. En dessert, les gauffres (alors que je n'aime vraiment pas ca en temps normal) sont succulentes!Un des spots a ne pas louper a Paris!
Les Cocottes|3|5|Voir toutes les photos de Audrey _. sur Les Cocottes
Les Cocottes|3|4|Voir toutes les photos de Amelie R. sur Les Cocottes
Les Cocottes|3|4|Marcel Cerdan
Les Cocottes|3|4|"Les cocottes de Christian! Alors il faut attendre un peu avant d avoir une place ais si vous êtes 2 ça va assez vite... et pour patienter vous pouvez même prendre un petit apéritif dehors tranquillement!Restaurant situé dans un quartier très sympa avec l embarras du choix niveau restaurant et bar... donc quartier à clairement retenir! J avais presque envie de mettre chaque resto et bar qu on croisait dans mes signets... Je me suis dis que retenir le nom de la rue serait plus simple ;)Enfin bref revenons à nos moutons, euh non que dis-je a nos cocottes! (Et oui humour du soir bonsoir!)Le service est impeccable! La décoration est moderne et très lumineuse! La salle très agréable. Nous etions assises au bar donc C était d autant plus sympa!Apres un petit aperitif spritz revisite et un petit cocktail du mois on se laisse tenter par leur salade cesar! Une des meilleurs que j ai pu goûter! Aaah mais je vous vois venir avec vos ""elle n a pas tenté les cocottes de Christian ! "", alors oui C est vrai (mea culpa) mais je n ai pas dis mon dernier mot... tous les plats sur la carte semblait succulent! Mais il fallait bien faire un choix... et au vu des desserts (oui oui la gourmandises est un vilain défaut... mais franchement rien que de lire les desserts à la carte... ) j ai privilégié l option salade pour garder de la place pour les gaufres au caramel à la fleur de sel avec une chantilly maison... (oui oui je vous avez bien prévenu! ) juste excellentes ces gaufres... bon c'était pas facile de se lever juste après ça par contre!Seul petit bémol:Il y a pas mal de monde et de touristes! On ne peut pas vraiment rester à table! On dine, on paye on part! Ce qui en soit permet de faire tourner assez rapidement et évite bien évidemment trop d attente à l entrée... ça peut également être pratique si vous faites un théâtre ou autre. Et parfait également pour les midis...Et puis de toute manière C est pas vraiment un problème étant donné qu il suffit de faire à peine 20m pour trouver un bar, bistrot ou autre où l on pourra se poser tranquillement pour la digestion! Voilà vous savez tout! Je vous laisse tester ^^"
Les Cocottes|3|3|Pas mal mais bcp d'attente et de bousculade à l'intérieur
Les Cocottes|3|4|Christian Constant ... Ah ! Christian Constant ! Chistian Constant c'est Top Chef !Un chef au top mais pas que ... C'est aussi un chocolatier remarquable (pas mon préféré mais il est une valeur sûre dans toutes les catégories culinaires :) )Enfin, on a testé ces fameuses cocottes !! Et elles sont un vrai RE-GAL !! Il y en a même pour les vegans avec sa cocotte de légumes de saison. On a l'impression d'avoir dîné chez mamie !La fameuse tarte au chocolat Constant (j'en avais rêvé) m'a totallement subjugué. Le service était impeccable.Dîner au top ! Bravo !
Les Cocottes|3|4|"Ca faisait longtemps que cet établissement me faisait des clins d'oeil, je n'ai répondu à l'appel que récemment, profitant de la visite d'amis américains en quête de bonne cuisine.Je m'attendais à une salle plus grande et moins ""cantine"" mais l'endroit à son charme.Je n'ai par contre pas été charmée par le service un peu quelconque mais finalement très ""parisien"".Je reviendrai, c'est sûr pour l'agneau en cocotte, si fondant, si délicieux! Je l'ai tellement aimé que je serai incapable de choisir un autre plat... Pas d'avis sur les desserts, pas testé.La note est en corrélation avec la qualité des mets."
Les Cocottes|3|5|"Une des 3 adresses mythiques de Christian Constant sur la rue Saint Dominique.L'accueil est fort sympathique. Il y a des grandes tables surélevées façon bar ainsi que des tables plus conventionnelles. Le service est professionnel et courtois.Coté cuisine, comme son nom l'indique, les plats (ainsi que certaines entrées) sont servies dans des cocottes STAUB qu'on vous apporte très chaudes.Parmi les incontournables, on compte les pommes de terres caramélisées farcies au pied de porc, la poitrine de pigeon des Landes et son écrasé de pomme de terre, ou encore le risotto et sa poêlée d'encornets au piment d'Espelette. Coté entrées, il faut absolument tester les ravioles de langoustines accompagnées de leur mousseline d'artichauts. Sans oublier les deux salades de la carte : l'oeuf poché aux lardons et sa salade roquette et la ""vraie salade César Ritz"" de Mr. Constant. Il y a également des verrines et des potages.Coté dessert, il ne faut absolument pas rater la tarte au chocolat avec son glaçage miroir. J'ai été déçu par les gaufres (chantilly, chocolat, ou caramel - ne pas hésiter à demander un assortiment !) qui étaient un peu trop cuites.Le restaurant propose une formule déjeuner E/P/D à 28euros (pas de choix possible, plats du jours uniquement) ou à 23euros pour E/P ou P/D, soit un tarif très abordable dans le quartier.Seul bémol : le restaurant ne prend pas de réservation.Pointe d'humour : la salade césar est servie en cocotte !"
Les Cocottes|3|2|Très bonne cuisine semi terroir et ethnique servie dans une ambiance conviviale. La clientèle reste plus âgées (45 et plus) et manque étrangement de mixité. 2 étoiles seulement due au service qui manquait de sérieux et d'élégance. (Les conversations douteuses entre serveurs sont à éviter lorsque des clients sont assis au bar et entendent tout!!)Je n'y retournerais pas.
Le Relais de l'Entrecôte|3|2|J'avais tellement hâte de l'essayer après avoir lu les commentaires de certains parisiens! Malheureusement, le plat n'est pas à la hauteur du prix qu'on devait débourser. Je m'attendais à une sauce un peu plus goûteuse, mais bon. Concernant le service, rien à redire. Si vous êtes de passage à Paris, je vous conseille d'essayer un autre restaurant pour le même prix, personnellement j'ai eu l'impression que c'était un piège à touriste. Peut-être que si j'avais goûté un de leur fameux dessert, je ne serais pas aussi déçue.
Le Relais de l'Entrecôte|3|4|"C'est le meilleur piège à touristes que je connaisse. Les parisiens qui sont rebutés par la queue sur le trottoir et qui se disent que la nourriture doit être aussi touristique ont tort de ne pas essayer. D'abord il faut saluer le concept : plat unique, entrecôte (en fait c'est du filet) frites avec une sauce ""secrète"". Qu'on vous ressert (pas à volonté quand même). Mais il faut avouer que : la viande est exceptionnelle, la sauce secrète, mérite qu'on la garde secrète, les frites, parfaitement frites. Et la queue pas si longue et on ne la regrette pas (mais il faut y aller en adhérant au concept pour ne pas piaffer). A essayer entre amis pour l'avoir fait une fois !"
Le Relais de l'Entrecôte|3|5|Très bon endroit pour déguster leur entrecôte, qui est le plat unique du relais de l'entrecôte avec une petite salade en entrée. Par contre il ne faut pas être pressé car ils ne prennent pas de réservation donc on fait la queue jusqu'à ce que notre tour arrive, mais cela avance relativement vite, il faut juste prendre son mal en patience
Le Relais de l'Entrecôte|3|4|Lieu incontournable pour les carnivores gourmets ! Une viande terriblement tendre, une sauce esquisse, et des frites fines salées comme il le faut. D'excellents vins accompagnent le repas, parfait. Plutôt grand et relativement calme, avec un service rapide. Conseil : pour ceux qui souhaitent y aller seul ou à deux, passer devant la file. Il leur est beaucoup plus facile de placer une ou deux personnes.
